DATE,Year,Moth,Day,Time,DateTime,X-ray,Solar wind speed,Solar wind density,Interplanetary Magnetic Field (Bz) ,DST,AE,Timestamp
6/5/2013,2013,6,5,0:00,6/05/13 00:00,3.18E-07,541.9,1.6,0.6,-14,411,1370390400
6/5/2013,2013,6,5,1:00,6/05/13 01:00,3.01E-07,527.1,1.6,1.0,-13,99,1370394000
6/5/2013,2013,6,5,2:00,6/05/13 02:00,2.84E-07,522.7,1.7,-1.1,-12,116,1370397600
6/5/2013,2013,6,5,3:00,6/05/13 03:00,2.79E-07,526.5,1.6,-0.9,-13,138,1370401200
6/5/2013,2013,6,5,4:00,6/05/13 04:00,2.61E-07,520.7,1.5,0.5,-20,215,1370404800
6/5/2013,2013,6,5,5:00,6/05/13 05:00,2.64E-07,512.7,1.7,1.1,-23,120,1370408400
6/5/2013,2013,6,5,6:00,6/05/13 06:00,3.30E-07,507.5,1.8,0.2,-20,120,1370412000
6/5/2013,2013,6,5,7:00,6/05/13 07:00,3.31E-07,500.4,1.8,-0.9,-15,83,1370415600
6/5/2013,2013,6,5,8:00,6/05/13 08:00,5.01E-06,503.5,2.1,-2.2,-13,197,1370419200
6/5/2013,2013,6,5,9:00,6/05/13 09:00,6.50E-06,497.2,1.8,-0.7,-13,216,1370422800
6/5/2013,2013,6,5,10:00,6/05/13 10:00,1.08E-06,492.3,2.2,-0.2,-14,180,1370426400
6/5/2013,2013,6,5,11:00,6/05/13 11:00,5.75E-07,490.4,2.1,0.4,-14,154,1370430000
6/5/2013,2013,6,5,12:00,6/05/13 12:00,4.45E-07,483.1,2.2,0.4,-12,151,1370433600
6/5/2013,2013,6,5,13:00,6/05/13 13:00,3.55E-07,489.1,1.6,-0.4,-8,244,1370437200
6/5/2013,2013,6,5,14:00,6/05/13 14:00,3.29E-07,496.1,1.5,-0.4,-10,213,1370440800
6/5/2013,2013,6,5,15:00,6/05/13 15:00,3.29E-07,495.6,1.2,-1.1,-11,187,1370444400
6/5/2013,2013,6,5,16:00,6/05/13 16:00,3.29E-07,487.6,1.4,-1.1,-12,187,1370448000
6/5/2013,2013,6,5,17:00,6/05/13 17:00,3.23E-07,477.7,1.9,-0.2,-15,145,1370451600
6/5/2013,2013,6,5,18:00,6/05/13 18:00,3.20E-07,466.9,1.7,-1.0,-18,149,1370455200
6/5/2013,2013,6,5,19:00,6/05/13 19:00,2.99E-07,479.4,1.3,-1.6,-20,149,1370458800
6/5/2013,2013,6,5,20:00,6/05/13 20:00,2.96E-07,483.9,1.5,-2.1,-20,126,1370462400
6/5/2013,2013,6,5,21:00,6/05/13 21:00,2.78E-07,479.5,1.4,-0.8,-21,152,1370466000
6/5/2013,2013,6,5,22:00,6/05/13 22:00,2.76E-07,471.8,1.5,-0.4,-23,171,1370469600
